Week,Sales,IF_Anomaly,Z_Anomaly
2016-07-03,4014.966,0,False
2016-07-10,4291.266,0,False
2016-07-17,10366.159,0,False
2016-07-24,3955.135,0,False
2016-07-31,7539.815,0,False
2016-08-07,3837.8992,0,False
2016-08-14,7272.986,0,False
2016-08-21,7085.682,0,False
2016-08-28,15773.478,0,True
2016-09-04,8162.043,0,False
2016-09-11,8243.94,0,False
2016-09-18,24095.96,0,True
2016-09-25,18316.364999999998,0,False
2016-10-02,9591.275,0,False
2016-10-09,3987.545,0,False
2016-10-16,9673.8455,0,False
2016-10-23,5588.974,0,False
2016-10-30,6122.684,0,False
2016-11-06,15492.867,0,False
2016-11-13,27965.3492,0,False
2016-11-20,15075.134,0,False
2016-11-27,13504.0113,0,False
2016-12-04,20712.100000000002,0,False
2016-12-11,15675.144,0,False
2016-12-18,11314.539999999999,0,False
2016-12-25,22843.047,0,False
2017-01-01,10421.8172,0,False
2017-01-08,5769.608,0,False
2017-01-15,2174.507,0,False
2017-01-22,3227.454,0,False
2017-01-29,2662.052,0,False
2017-02-05,17926.368,0,False
2017-02-12,3821.642,0,False
2017-02-19,2920.111,0,False
2017-02-26,2628.088,0,False
2017-03-05,14419.498000000001,0,False
2017-03-12,14129.183,0,False
2017-03-19,14902.938,0,False
2017-03-26,4575.475,0,False
2017-04-02,7145.821,0,False
2017-04-09,9674.378999999999,0,False
2017-04-16,15502.758,0,False
2017-04-23,7107.204,0,False
2017-04-30,2779.046,0,False
2017-05-07,10158.411,0,False
2017-05-14,4767.564,0,False
2017-05-21,8770.649,0,False
2017-05-28,23367.662,0,True
2017-06-04,12066.989,0,False
2017-06-11,10913.018,0,False
2017-06-18,10713.721,0,False
2017-06-25,10503.088,0,False
2017-07-02,7617.454000000001,0,False
2017-07-09,9571.03,0,False
2017-07-16,4431.985,0,False
2017-07-23,9716.872,0,False
2017-07-30,9929.576000000001,0,False
2017-08-06,5045.558,0,False
2017-08-13,6791.8324999999995,0,False
2017-08-20,3783.892,0,False
2017-08-27,14460.025,0,False
2017-09-03,17558.9918,0,False
2017-09-10,14920.9956,0,False
2017-09-17,16528.072,0,False
2017-09-24,13848.655,0,False
2017-10-01,9753.1413,0,False
2017-10-08,28412.098,0,False
2017-10-15,7439.001,0,False
2017-10-22,12415.173999999999,0,False
2017-10-29,6625.845,0,False
2017-11-05,16321.3878,0,False
2017-11-12,20640.302,0,False
2017-11-19,12641.716,0,False
2017-11-26,27367.716,0,False
2017-12-03,23324.762,0,False
2017-12-10,18961.002,0,False
2017-12-17,25449.8,1,False
2017-12-24,17948.247,0,False
2017-12-31,16060.185,0,False
2018-01-07,9060.984,0,False
2018-01-14,7332.659000000001,0,False
2018-01-21,13698.768,0,False
2018-01-28,9476.086,0,False
2018-02-04,5776.328,0,False
2018-02-11,5409.749,0,False
2018-02-18,5648.0154,0,False
2018-02-25,4509.7519999999995,0,False
2018-03-04,6164.182,0,False
2018-03-11,6965.41,0,False
2018-03-18,8779.131000000001,0,False
2018-03-25,26029.904,0,True
2018-04-01,19382.9038,0,False
2018-04-08,10151.6085,0,False
2018-04-15,5102.797,0,False
2018-04-22,7631.758,0,False
2018-04-29,5292.6326,0,False
2018-05-06,11606.7218,0,False
2018-05-13,11772.475,0,False
2018-05-20,14571.618,0,False
2018-05-27,4357.192,0,False
2018-06-03,6581.8854,0,False
2018-06-10,6481.389999999999,0,False
2018-06-17,15095.256,0,False
2018-06-24,6318.9355,0,False
2018-07-01,17261.1922,0,False
2018-07-08,11589.842,0,False
2018-07-15,9998.841,0,False
2018-07-22,10896.305,0,False
2018-07-29,9618.882,0,False
2018-08-05,5205.628,0,False
2018-08-12,11128.53,0,False
2018-08-19,22222.554,0,False
2018-08-26,15330.072,0,False
2018-09-02,20946.612,0,False
2018-09-09,17672.048,0,False
2018-09-16,20166.201,0,False
2018-09-23,26104.433,0,False
2018-09-30,12296.062,0,False
2018-10-07,21535.594,0,False
2018-10-14,16509.831000000002,0,False
2018-10-21,13270.8182,0,False
2018-10-28,21535.27,0,False
2018-11-04,29017.467,1,False
2018-11-11,20015.55,0,False
2018-11-18,30572.447,1,False
2018-11-25,22212.769,0,False
2018-12-02,35998.9,1,False
2018-12-09,21537.240999999998,0,False
2018-12-16,11542.834,0,False
2018-12-23,19457.068,0,False
2018-12-30,15210.8858,0,False
